Código nave,Tipo nave (agrupado),TRG,Puerto origen,Puerto destino,Agencia,Sitio,Línea naviera,Servicio,service_time_hours,atraque_hour,atraque_dayofweek,atraque_month,atraque_year,Calado arribo,Calado diff
9338632,Vehicle Carrier,39422,IQUIQUE,NAGOYA - AICHI,96566940-k - AGUNSA,Sitio 4/5,KLINE,SHINNANSEIKAI,9.466666666666669,21,1,1,2020,7.0,0.0
9318101,Container,91649,LIRQUEN,MANZANILLO - MX,80925100-4 - SOMARCO,Sitio 1,COSCO GROUP,WSA3,25.25,5,5,1,2020,10.9,0.1
9580156,Dry Bulk,23587,SAN LORENZO,PATILLOS,96566940-k - AGUNSA,Sitio 4/5,EMPREMAR,CHARTER,108.0,12,0,1,2020,9.75,4.65
9729128,Container,95256,ANGAMOS,CALLAO,82728500-5 - IAN TAYLOR,Sitio 4/5,CMA CGM,Eurosal,42.75,21,2,1,2020,9.95,-0.2
9362736,Container,21018,LIRQUEN,CALLAO,80992000-3 - ULTRAMAR,Sitio 2,EVERGREEN,PWS,16.083333333333332,7,2,1,2020,8.95,-0.05
9645877,Container,116603,LIRQUEN,MANZANILLO - MX,80925100-4 - SOMARCO,Sitio 1,COSCO GROUP,WSA3,25.666666666666668,4,6,1,2020,11.2,-0.3
9467407,Container,140096,CALLAO,CORONEL,96707720-8 - MSC,Sitio 1,MSC,Andes,41.16666666666666,6,3,1,2020,11.35,2.15
9693290,Dry Bulk,25546,SAN LORENZO,PATILLOS,80010900-0 - AGENTAL,Sitio 8,NON-LINER,NO SERVICE,77.95,8,4,1,2020,9.85,3.85
9216099,Container,65059,SANTOS - SP,CALLAO,80992000-3 - ULTRAMAR,Sitio 2,HAPAG-LLOYD CHILE SPA,SERVICIO CONOSUR / ABAC,31.33333333333333,7,5,1,2020,13.45,1.15
9232981,Container,6385,LIRQUEN,PUNTA ARENAS,80992000-3 - ULTRAMAR,Sitio 2,TRANSMARES,CABOTAJE SUR,14.0,14,6,1,2020,4.2,-2.6
9547178,Dry Bulk,22852,SAN LORENZO,VALPARAISO,78986820-4 - B&M,Sitio 8,NON-LINER,NO SERVICE,93.33333333333331,15,0,1,2020,10.2,4.3
9777618,Container,118945,MEJILLONES,CALLAO,80992000-3 - ULTRAMAR,Sitio 4/5,HAPAG-LLOYD CHILE SPA,Eurosal,41.0,21,2,1,2020,9.45,0.65
9495038,Container,86679,CALLAO,HONG KONG,80992000-3 - ULTRAMAR,Sitio 1,EVERGREEN,WSA,32.083333333333336,5,0,1,2020,11.8,0.8
9670846,Dry Bulk,32987,ROSARIO,BALBOA,80992000-3 - ULTRAMAR,Sitio 8,NON-LINER,NO SERVICE,81.83333333333333,1,5,1,2020,10.0,4.25
9622825,Dry Bulk,31756,BUKPYUNG PORT,CORONEL,80992000-3 - ULTRAMAR,Sitio 4/5,NON-LINER,NO SERVICE,63.0,23,5,1,2020,11.7,3.4
9448803,Container,91051,CALLAO,HONG KONG,80925100-4 - SOMARCO,Sitio 1,COSCO GROUP,WSA,34.0,6,1,1,2020,10.15,0.35
9403293,Liquid Bulk,15659,MEJILLONES,MEJILLONES,80992000-3 - ULTRAMAR,Sitio 3,ULTRAGAS,CABOTAJE,17.5,11,0,1,2020,6.25,0.0
9190858,Vehicle Carrier,37237,LIANYUNGANG,CALLAO,80925100-4 - SOMARCO,Sitio 4/5,NON-LINER,NO SERVICE,14.333333333333334,14,0,1,2020,7.85,0.9
9792008,Liquid Bulk,14965,QUINTERO,HOUSTON - TX,78986820-4 - B&M,Sitio 9,NON-LINER,NO SERVICE,16.383333333333333,7,3,1,2020,8.0,2.0
9643805,Dry Bulk,23462,SAN LORENZO,SAN LORENZO,80010900-0 - AGENTAL,Sitio 8,NON-LINER,NO SERVICE,67.0,12,1,1,2020,10.0,5.1
9359375,Liquid Bulk,26329,QUINTERO,SAN VICENTE,80010900-0 - AGENTAL,Sitio 3,NON-LINER,NO SERVICE,14.0,19,2,1,2020,9.95,0.15
9467407,Container,140096,LIRQUEN,MEJILLONES,96707720-8 - MSC,Sitio 1,MSC,Andes,56.91666666666666,6,2,1,2020,11.6,-1.35
9195157,Passenger,91740,PUERTO MONTT,PUERTO MONTT,78610880-2 - INCHCAPE,Sitio 4/5,NON-LINER,NO SERVICE,12.333333333333334,6,5,1,2020,7.35,-1.05
9580156,Dry Bulk,23587,SAN LORENZO,PATILLOS,96566940-k - AGUNSA,Sitio 4/5,EMPREMAR,CHARTER,14.85,20,5,1,2020,9.75,4.65
9156515,Passenger,61214,COQUIMBO,ISLA JUAN FERNANDEZ,78610880-2 - INCHCAPE,Sitio 4/5,NON-LINER,NO SERVICE,9.916666666666666,7,2,1,2020,8.1,0.0
9122966,Vehicle Carrier,55680,IQUIQUE,ULSAN,82728500-5 - IAN TAYLOR,Sitio 4/5,EUKOR,CAR CARRIERS,17.1,20,6,1,2020,7.35,0.35
9720043,Dry Bulk,35503,ANTOFAGASTA,LIRQUEN,80992000-3 - ULTRAMAR,Sitio 4/5,G2 OCEAN (G2O),Granel,70.75,5,3,1,2020,6.7,0.2
9685322,Container,113042,CALLAO,LIRQUEN,96566940-k - AGUNSA,Sitio 1,ONE,AX2,27.316666666666663,0,5,1,2020,10.8,1.8
9777589,Container,118945,MEJILLONES,CALLAO,80992000-3 - ULTRAMAR,Sitio 4/5,HAPAG-LLOYD CHILE SPA,Eurosal,23.666666666666668,22,4,1,2020,7.95,-1.7
9690559,Vehicle Carrier,71177,CALLAO,IQUIQUE,96566940-k - AGUNSA,Sitio 4/5,KLINE,ALEX,17.583333333333332,18,5,1,2020,8.8,0.55
